timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733925132952,705,Select Flight,200,OK,Thread Group 1-1,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6950,350,4,4,https://blazedemo.com/purchase.php,278,0,0
1733925132952,278,Select Flight-0,302,Found,Thread Group 1-1,text,true,,235,223,4,4,http://blazedemo.com/purchase.php,278,0,0
1733925133229,428,Select Flight-1,200,OK,Thread Group 1-1,text,true,,6715,127,4,4,https://blazedemo.com/purchase.php,410,0,0
1733925128930,1364,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-1,,false,,14454,660,4,4,null,557,3365,0
1733925132992,705,Select Flight,200,OK,Thread Group 1-4,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,3,3,https://blazedemo.com/purchase.php,291,0,0
1733925132992,291,Select Flight-0,302,Found,Thread Group 1-4,text,true,,231,223,3,3,http://blazedemo.com/purchase.php,291,0,0
1733925133282,415,Select Flight-1,200,OK,Thread Group 1-4,text,true,,6715,127,3,3,https://blazedemo.com/purchase.php,401,0,0
1733925129414,1663,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-4,,false,,14454,660,3,3,null,708,2622,16
1733925133411,711,Search Flights,200,OK,Thread Group 1-3,text,false,Test failed: text expected to contain /Flights from Paris to London/,7504,310,3,3,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,294,0,0
1733925133411,294,Search Flights-0,302,Found,Thread Group 1-3,text,true,,259,155,3,3,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,294,0,0
1733925133706,416,Search Flights-1,200,OK,Thread Group 1-3,text,true,,7245,155,3,3,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,389,0,0
1733925134699,711,Search Flights,200,OK,Thread Group 1-4,text,false,Test failed: text expected to contain /Flights from Paris to London/,7504,310,3,3,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,296,0,0
1733925134699,296,Search Flights-0,302,Found,Thread Group 1-4,text,true,,259,155,3,3,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,296,0,0
1733925134995,415,Search Flights-1,200,OK,Thread Group 1-4,text,true,,7245,155,3,3,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,399,0,0
1733925135337,682,Select Flight,200,OK,Thread Group 1-3,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,3,3,https://blazedemo.com/purchase.php,291,0,0
1733925135337,291,Select Flight-0,302,Found,Thread Group 1-3,text,true,,231,223,3,3,http://blazedemo.com/purchase.php,291,0,0
1733925135628,391,Select Flight-1,200,OK,Thread Group 1-3,text,true,,6715,127,3,3,https://blazedemo.com/purchase.php,375,0,0
1733925132409,1393,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-3,,false,,14450,660,3,3,null,585,2219,0
1733925135561,661,Select Flight,200,OK,Thread Group 1-5,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,2,2,https://blazedemo.com/purchase.php,275,0,0
1733925135561,275,Select Flight-0,302,Found,Thread Group 1-5,text,true,,231,223,2,2,http://blazedemo.com/purchase.php,275,0,0
1733925135837,385,Select Flight-1,200,OK,Thread Group 1-5,text,true,,6715,127,2,2,https://blazedemo.com/purchase.php,379,0,0
